"home","away","home_score","away_score"
"Mexico","South Africa",2,0
"Korea Republic","Czechia",2,1
"Canada","Bosnia and Herzegovina",1,1
"United States","Paraguay",4,1
"Qatar","Switzerland",1,1
"Brazil","Morocco",1,1
"Haiti","Scotland",0,1
"Australia","Turkiye",2,0
"Germany","Curacao",7,1
"Ivory Coast","Ecuador",1,0
"Netherlands","Japan",2,2
"Sweden","Tunisia",5,1
"Belgium","Egypt",1,1
"Iran","New Zealand",2,2
"Spain","Cape Verde",0,0
"Saudi Arabia","Uruguay",1,1
"France","Senegal",3,1
"Iraq","Norway",1,4
"Argentina","Algeria",3,0
"Austria","Jordan",3,1
"Portugal","DR Congo",1,1
"Uzbekistan","Colombia",1,3
"England","Croatia",4,2
"Ghana","Panama",1,0
"Czechia","South Africa",1,1
"Mexico","Korea Republic",1,0
"Switzerland","Bosnia and Herzegovina",4,1
"Canada","Qatar",6,0
"Scotland","Morocco",0,1
"Brazil","Haiti",3,0
"United States","Australia",2,0
"Turkiye","Paraguay",0,1
"Germany","Ivory Coast",2,1
"Ecuador","Curacao",0,0
"Netherlands","Sweden",5,1
"Tunisia","Japan",0,4
"Belgium","Iran",0,0
"New Zealand","Egypt",1,3
"Spain","Saudi Arabia",4,0
"Uruguay","Cape Verde",2,2
"France","Iraq",3,0
"Norway","Senegal",3,2
"Argentina","Austria",2,0
"Jordan","Algeria",1,2
"Portugal","Uzbekistan",5,0
"Colombia","DR Congo",1,0
"England","Ghana",0,0
"Panama","Croatia",0,1
"Mexico","Czechia",3,0
"South Africa","Korea Republic",1,0
"Canada","Switzerland",1,2
"Bosnia and Herzegovina","Qatar",3,1
"Scotland","Brazil",0,3
"Morocco","Haiti",4,2
"United States","Turkiye",2,3
"Paraguay","Australia",0,0
"Curacao","Ivory Coast",0,2
"Ecuador","Germany",2,1
"Japan","Sweden",1,1
"Tunisia","Netherlands",1,3
"Egypt","Iran",1,1
"New Zealand","Belgium",1,5
"Cape Verde","Saudi Arabia",0,0
"Uruguay","Spain",0,1
"Norway","France",1,4
"Senegal","Iraq",5,0
"Algeria","Austria",3,3
"Jordan","Argentina",1,3
"Colombia","Portugal",0,0
"DR Congo","Uzbekistan",3,1
"Panama","England",0,2
"Croatia","Ghana",2,1
"South Africa","Canada",0,1
"Brazil","Japan",2,1
"Germany","Paraguay",1,1
"Netherlands","Morocco",1,1
"Ivory Coast","Norway",1,2
"France","Sweden",3,0
"Mexico","Ecuador",2,0
"England","DR Congo",2,1
"Belgium","Senegal",3,2
"United States","Bosnia and Herzegovina",2,0
"Spain","Austria",3,0
"Portugal","Croatia",2,1
"Switzerland","Algeria",2,0
"Australia","Egypt",1,1
"Argentina","Cape Verde",3,2
"Colombia","Ghana",1,0
"Canada","Morocco",0,3
"Paraguay","France",0,1
